CorrVar1,CorrVar2,Value
total_co2_venous_blood_gas_analysis,hco3_venous_blood_gas_analysis,0.99866
total_co2_arterial_blood_gas_analysis,hco3_arterial_blood_gas_analysis,0.98738
hematocrit,hemoglobin,0.97040
base_excess_venous_blood_gas_analysis,hco3_venous_blood_gas_analysis,0.92711
base_excess_venous_blood_gas_analysis,total_co2_venous_blood_gas_analysis,0.90787
mean_corpuscular_hemoglobin_mch,mean_corpuscular_volume_mcv,0.90745
hb_saturation_venous_blood_gas_analysis,po2_venous_blood_gas_analysis,0.90738
total_bilirubin,indirect_bilirubin,0.90690
hematocrit,red_blood_cells,0.86226
total_bilirubin,direct_bilirubin,0.84485
hemoglobin,red_blood_cells,0.82400
myelocytes,urine_red_blood_cells,0.76210
hb_saturation_arterial_blood_gases,po2_arterial_blood_gas_analysis,0.75347
base_excess_arterial_blood_gas_analysis,ph_arterial_blood_gas_analysis,0.72452
alanine_transaminase,aspartate_transaminase,0.71526
pco2_venous_blood_gas_analysis,total_co2_venous_blood_gas_analysis,0.69689
metamyelocytes,myelocytes,0.68727
gamma_glutamyltransferase,direct_bilirubin,0.67430
pco2_venous_blood_gas_analysis,hco3_venous_blood_gas_analysis,0.66152
urea,gamma_glutamyltransferase,0.63816
pco2_arterial_blood_gas_analysis,total_co2_arterial_blood_gas_analysis,0.62141
urea,direct_bilirubin,0.54322
direct_bilirubin,indirect_bilirubin,0.54078
urea,creatinine,0.52229
mean_corpuscular_hemoglobin_concentration_mchc,mean_corpuscular_hemoglobin_mch,0.50063
pco2_arterial_blood_gas_analysis,hco3_arterial_blood_gas_analysis,0.49103
base_excess_venous_blood_gas_analysis,ph_venous_blood_gas_analysis,0.47946
alkaline_phosphatase,lactic_dehydrogenase,0.47895
ionized_calcium,pco2_arterial_blood_gas_analysis,0.46505
pco2_arterial_blood_gas_analysis,arteiral_fio2,0.46201
platelets,leukocytes,0.45747
base_excess_arterial_blood_gas_analysis,hco3_arterial_blood_gas_analysis,0.43570
proteina_c_reativa_mg_dl,rods,0.43094
basophils,promyelocytes,0.42798
pco2_arterial_blood_gas_analysis,phosphor,0.42394
hemoglobin,mean_corpuscular_hemoglobin_concentration_mchc,0.42343
alanine_transaminase,gamma_glutamyltransferase,0.40736
